date,cuisine_type,popularity_score,avg_price,season,day_type,is_holiday,weather_impact_category,booking_lead_time_days
2023-11-21,Seafood,69.13,314.47,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-22,Italian,78.31,215.64,Winter/Peak,Weekday,False,Neutral,3
2023-11-22,Chinese,56.67,136.81,Winter/Peak,Weekday,False,Neutral,1
2023-11-22,Indian,57.82,174.61,Winter/Peak,Weekday,False,Neutral,0
2023-11-22,Mexican,71.25,131.27,Winter/Peak,Weekday,False,Neutral,2
2023-11-22,French,61.77,357.01,Winter/Peak,Weekday,False,Neutral,1
2023-11-22,Thai,69.37,189.02,Winter/Peak,Weekday,False,Neutral,1
2023-11-22,Iranian,56.26,147.97,Winter/Peak,Weekday,False,Neutral,0
2023-11-22,Mediterranean,83.98,387.62,Winter/Peak,Weekday,False,Neutral,3
2023-11-22,Emirati,69.64,319.65,Winter/Peak,Weekday,False,Neutral,3
2023-11-22,Seafood,92.03,333.23,Winter/Peak,Weekday,False,Neutral,7
2023-11-23,Italian,60.79,226.74,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-11-23,Chinese,54.69,231.21,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-11-23,Indian,74.07,195.52,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-11-23,Mexican,53.74,128.26,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-11-23,French,66.11,225.68,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-11-23,Thai,70.99,153.45,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-11-23,Iranian,80.06,254.73,Winter/Peak,Weekday,False,Moderate Heat Impact,7
2023-11-23,Mediterranean,64.23,258.48,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-11-23,Emirati,93.19,270.36,Winter/Peak,Weekday,False,Moderate Heat Impact,7
2023-11-23,Seafood,78.52,274.61,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-11-24,Italian,74.02,119.34,Winter/Peak,Weekend,False,High Favorable Weather,1
2023-11-24,Chinese,76.3,222.5,Winter/Peak,Weekend,False,High Favorable Weather,3
2023-11-24,Indian,100.0,120.2,Winter/Peak,Weekend,False,High Favorable Weather,13
2023-11-24,Mexican,79.17,195.59,Winter/Peak,Weekend,False,High Favorable Weather,3
2023-11-24,French,91.72,333.78,Winter/Peak,Weekend,False,High Favorable Weather,8
2023-11-24,Thai,69.62,209.71,Winter/Peak,Weekend,False,High Favorable Weather,1
2023-11-24,Iranian,68.27,261.15,Winter/Peak,Weekend,False,High Favorable Weather,2
2023-11-24,Mediterranean,100.0,412.08,Winter/Peak,Weekend,False,High Favorable Weather,14
2023-11-24,Emirati,88.27,241.73,Winter/Peak,Weekend,False,High Favorable Weather,3
2023-11-24,Seafood,100.0,312.45,Winter/Peak,Weekend,False,High Favorable Weather,9
2023-11-25,Italian,88.84,125.2,Winter/Peak,Weekend,False,Moderate Heat Impact,5
2023-11-25,Chinese,79.66,153.14,Winter/Peak,Weekend,False,Moderate Heat Impact,1
2023-11-25,Indian,64.87,155.72,Winter/Peak,Weekend,False,Moderate Heat Impact,1
2023-11-25,Mexican,66.63,165.57,Winter/Peak,Weekend,False,Moderate Heat Impact,1
2023-11-25,French,100.0,227.82,Winter/Peak,Weekend,False,Moderate Heat Impact,8
2023-11-25,Thai,67.82,226.08,Winter/Peak,Weekend,False,Moderate Heat Impact,3
2023-11-25,Iranian,79.86,222.08,Winter/Peak,Weekend,False,Moderate Heat Impact,2
2023-11-25,Mediterranean,77.37,427.55,Winter/Peak,Weekend,False,Moderate Heat Impact,1
2023-11-25,Emirati,94.96,312.98,Winter/Peak,Weekend,False,Moderate Heat Impact,12
2023-11-25,Seafood,86.41,270.6,Winter/Peak,Weekend,False,Moderate Heat Impact,4
2023-11-26,Italian,55.42,246.17,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-11-26,Chinese,60.84,159.32,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-11-26,Indian,84.5,209.34,Winter/Peak,Weekday,False,High Favorable Weather,4
2023-11-26,Mexican,70.2,158.04,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-11-26,French,77.21,302.5,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-11-26,Thai,78.65,124.72,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-11-26,Iranian,82.83,235.5,Winter/Peak,Weekday,False,High Favorable Weather,7
2023-11-26,Mediterranean,76.73,321.58,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-11-26,Emirati,74.32,283.04,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-11-26,Seafood,77.61,306.93,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-11-27,Italian,53.86,112.36,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-27,Chinese,61.62,242.4,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-27,Indian,76.98,160.52,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-27,Mexican,71.33,182.9,Winter/Peak,Weekday,False,Favorable Weather,2
2023-11-27,French,70.23,231.71,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-27,Thai,78.64,215.51,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-27,Iranian,81.92,252.11,Winter/Peak,Weekday,False,Favorable Weather,7
2023-11-27,Mediterranean,73.52,381.48,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-27,Emirati,83.18,340.87,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-27,Seafood,74.62,226.42,Winter/Peak,Weekday,False,Favorable Weather,2
2023-11-28,Italian,65.24,200.0,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-11-28,Chinese,57.7,254.15,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-11-28,Indian,57.23,188.02,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-11-28,Mexican,66.72,209.34,Winter/Peak,Weekday,False,High Favorable Weather,1
2023-11-28,French,92.13,206.23,Winter/Peak,Weekday,False,High Favorable Weather,8
2023-11-28,Thai,78.15,171.58,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-11-28,Iranian,69.29,104.71,Winter/Peak,Weekday,False,High Favorable Weather,1
2023-11-28,Mediterranean,86.43,205.47,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-11-28,Emirati,96.66,291.48,Winter/Peak,Weekday,False,High Favorable Weather,8
2023-11-28,Seafood,81.78,203.88,Winter/Peak,Weekday,False,High Favorable Weather,4
2023-11-29,Italian,59.72,121.7,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-29,Chinese,60.01,106.31,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-29,Indian,81.93,128.79,Winter/Peak,Weekday,False,Favorable Weather,5
2023-11-29,Mexican,83.12,158.0,Winter/Peak,Weekday,False,Favorable Weather,5
2023-11-29,French,86.72,323.38,Winter/Peak,Weekday,False,Favorable Weather,7
2023-11-29,Thai,77.1,118.71,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-29,Iranian,70.4,189.64,Winter/Peak,Weekday,False,Favorable Weather,2
2023-11-29,Mediterranean,81.67,205.74,Winter/Peak,Weekday,False,Favorable Weather,7
2023-11-29,Emirati,96.21,198.05,Winter/Peak,Weekday,False,Favorable Weather,10
2023-11-29,Seafood,94.54,335.79,Winter/Peak,Weekday,False,Favorable Weather,9
2023-11-30,Italian,73.74,215.81,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-30,Chinese,55.5,207.04,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-30,Indian,65.28,160.2,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-30,Mexican,82.38,124.99,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-30,French,66.32,279.08,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-30,Thai,62.4,177.64,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-30,Iranian,67.64,255.74,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-30,Mediterranean,91.43,343.11,Winter/Peak,Weekday,False,Favorable Weather,10
2023-11-30,Emirati,89.32,340.3,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-30,Seafood,89.49,301.55,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-01,Italian,96.7,228.79,Winter/Peak,Weekend,False,Favorable Weather,11
2023-12-01,Chinese,85.22,162.62,Winter/Peak,Weekend,False,Favorable Weather,7
2023-12-01,Indian,81.43,190.57,Winter/Peak,Weekend,False,Favorable Weather,3
2023-12-01,Mexican,82.07,198.92,Winter/Peak,Weekend,False,Favorable Weather,3
2023-12-01,French,77.7,343.13,Winter/Peak,Weekend,False,Favorable Weather,1
2023-12-01,Thai,98.35,267.64,Winter/Peak,Weekend,False,Favorable Weather,11
2023-12-01,Iranian,82.73,138.93,Winter/Peak,Weekend,False,Favorable Weather,7
2023-12-01,Mediterranean,78.61,421.84,Winter/Peak,Weekend,False,Favorable Weather,3
2023-12-01,Emirati,100.0,282.25,Winter/Peak,Weekend,False,Favorable Weather,6
2023-12-01,Seafood,93.43,316.08,Winter/Peak,Weekend,False,Favorable Weather,9
2023-12-02,Italian,81.52,147.03,Winter/Peak,Weekend,False,Neutral,7
2023-12-02,Chinese,68.31,193.43,Winter/Peak,Weekend,False,Neutral,3
2023-12-02,Indian,83.36,214.87,Winter/Peak,Weekend,False,Neutral,3
2023-12-02,Mexican,83.06,270.59,Winter/Peak,Weekend,False,Neutral,4
2023-12-02,French,79.65,302.2,Winter/Peak,Weekend,False,Neutral,2
2023-12-02,Thai,100.0,209.72,Winter/Peak,Weekend,False,Neutral,12
2023-12-02,Iranian,73.9,226.84,Winter/Peak,Weekend,False,Neutral,2
2023-12-02,Mediterranean,88.54,349.15,Winter/Peak,Weekend,False,Neutral,5
2023-12-02,Emirati,79.1,373.42,Winter/Peak,Weekend,False,Neutral,3
2023-12-02,Seafood,88.12,359.71,Winter/Peak,Weekend,False,Neutral,2
2023-12-03,Italian,71.7,119.37,Winter/Peak,Weekday,False,Neutral,1
2023-12-03,Chinese,55.54,173.76,Winter/Peak,Weekday,False,Neutral,0
2023-12-03,Indian,61.51,174.19,Winter/Peak,Weekday,False,Neutral,0
2023-12-03,Mexican,73.99,129.13,Winter/Peak,Weekday,False,Neutral,3
2023-12-03,French,76.86,231.77,Winter/Peak,Weekday,False,Neutral,3
2023-12-03,Thai,55.14,253.09,Winter/Peak,Weekday,False,Neutral,0
2023-12-03,Iranian,67.61,215.16,Winter/Peak,Weekday,False,Neutral,1
2023-12-03,Mediterranean,85.33,281.23,Winter/Peak,Weekday,False,Neutral,4
2023-12-03,Emirati,77.93,257.49,Winter/Peak,Weekday,False,Neutral,2
2023-12-03,Seafood,65.41,289.18,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Italian,76.8,214.67,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Chinese,67.04,248.83,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Indian,57.69,200.49,Winter/Peak,Weekday,False,Neutral,0
2023-12-04,Mexican,64.85,154.55,Winter/Peak,Weekday,False,Neutral,1
2023-12-04,French,81.84,396.14,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Thai,79.98,116.34,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Iranian,56.08,236.78,Winter/Peak,Weekday,False,Neutral,1
2023-12-04,Mediterranean,81.75,352.11,Winter/Peak,Weekday,False,Neutral,3
2023-12-04,Emirati,94.75,200.76,Winter/Peak,Weekday,False,Neutral,8
2023-12-04,Seafood,61.74,210.43,Winter/Peak,Weekday,False,Neutral,0
2023-12-05,Italian,57.15,236.91,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-05,Chinese,62.58,221.11,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-05,Indian,52.02,130.73,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-05,Mexican,64.29,145.66,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-05,French,64.49,406.16,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-05,Thai,76.25,129.8,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-12-05,Iranian,64.48,106.35,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-05,Mediterranean,87.72,259.89,Winter/Peak,Weekday,False,Moderate Heat Impact,7
2023-12-05,Emirati,61.98,247.18,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-05,Seafood,80.29,246.99,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-12-06,Italian,75.86,166.98,Winter/Peak,Weekday,False,Moderate Heat Impact,3
2023-12-06,Chinese,54.01,165.37,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Indian,63.58,209.3,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Mexican,55.31,225.93,Winter/Peak,Weekday,False,Moderate Heat Impact,0
2023-12-06,French,64.53,220.72,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Thai,52.48,151.14,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Iranian,58.74,145.78,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Mediterranean,60.45,313.62,Winter/Peak,Weekday,False,Moderate Heat Impact,1
2023-12-06,Emirati,85.04,216.89,Winter/Peak,Weekday,False,Moderate Heat Impact,5
2023-12-06,Seafood,92.33,275.29,Winter/Peak,Weekday,False,Moderate Heat Impact,10
2023-12-07,Italian,79.26,191.9,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-07,Chinese,66.73,167.53,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-07,Indian,67.75,180.38,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-07,Mexican,65.72,170.89,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-07,French,70.58,297.35,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-07,Thai,63.72,228.25,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-07,Iranian,55.06,214.26,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-07,Mediterranean,61.52,345.41,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-07,Emirati,74.85,253.4,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-07,Seafood,72.98,330.52,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-08,Italian,80.38,205.38,Winter/Peak,Weekend,False,High Favorable Weather,3
2023-12-08,Chinese,72.3,132.87,Winter/Peak,Weekend,False,High Favorable Weather,2
2023-12-08,Indian,76.37,268.45,Winter/Peak,Weekend,False,High Favorable Weather,2
2023-12-08,Mexican,100.0,121.3,Winter/Peak,Weekend,False,High Favorable Weather,9
2023-12-08,French,79.0,306.92,Winter/Peak,Weekend,False,High Favorable Weather,2
2023-12-08,Thai,75.2,232.02,Winter/Peak,Weekend,False,High Favorable Weather,1
2023-12-08,Iranian,82.4,208.51,Winter/Peak,Weekend,False,High Favorable Weather,7
2023-12-08,Mediterranean,100.0,433.9,Winter/Peak,Weekend,False,High Favorable Weather,14
2023-12-08,Emirati,78.64,394.26,Winter/Peak,Weekend,False,High Favorable Weather,2
2023-12-08,Seafood,100.0,253.08,Winter/Peak,Weekend,False,High Favorable Weather,7
2023-12-09,Italian,100.0,132.35,Winter/Peak,Weekend,False,Favorable Weather,5
2023-12-09,Chinese,98.96,226.8,Winter/Peak,Weekend,False,Favorable Weather,9
2023-12-09,Indian,97.19,196.06,Winter/Peak,Weekend,False,Favorable Weather,13
2023-12-09,Mexican,96.89,226.42,Winter/Peak,Weekend,False,Favorable Weather,8
2023-12-09,French,98.69,367.58,Winter/Peak,Weekend,False,Favorable Weather,6
2023-12-09,Thai,86.31,278.55,Winter/Peak,Weekend,False,Favorable Weather,6
2023-12-09,Iranian,94.15,120.06,Winter/Peak,Weekend,False,Favorable Weather,11
2023-12-09,Mediterranean,100.0,288.38,Winter/Peak,Weekend,False,Favorable Weather,7
2023-12-09,Emirati,94.0,391.97,Winter/Peak,Weekend,False,Favorable Weather,6
2023-12-09,Seafood,100.0,361.54,Winter/Peak,Weekend,False,Favorable Weather,13
2023-12-10,Italian,73.92,168.77,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-10,Chinese,73.25,244.23,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-10,Indian,53.63,185.25,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-10,Mexican,71.83,172.29,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-10,French,68.83,308.68,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-10,Thai,56.29,189.24,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-10,Iranian,75.38,203.69,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-10,Mediterranean,73.92,351.62,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-10,Emirati,83.82,338.54,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-10,Seafood,76.97,277.36,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-11,Italian,79.97,144.32,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-11,Chinese,73.98,139.34,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-11,Indian,78.77,132.38,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-11,Mexican,64.55,237.15,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-11,French,69.86,310.03,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-11,Thai,64.67,179.62,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-11,Iranian,60.33,130.13,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-11,Mediterranean,67.55,260.93,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-11,Emirati,68.23,223.07,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-11,Seafood,95.56,306.75,Winter/Peak,Weekday,False,Favorable Weather,12
2023-12-12,Italian,67.32,119.58,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-12,Chinese,75.67,112.09,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-12,Indian,70.48,168.65,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-12,Mexican,64.77,151.15,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-12,French,70.63,240.85,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-12,Thai,76.97,247.85,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-12,Iranian,75.27,248.73,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-12,Mediterranean,89.87,241.11,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-12,Emirati,64.24,242.59,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-12,Seafood,96.73,285.63,Winter/Peak,Weekday,False,Favorable Weather,12
2023-12-13,Italian,80.71,107.25,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-13,Chinese,73.68,144.49,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-13,Indian,63.62,151.45,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-13,Mexican,81.89,162.24,Winter/Peak,Weekday,False,Favorable Weather,5
2023-12-13,French,81.81,220.27,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-13,Thai,84.9,159.06,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-13,Iranian,66.94,119.59,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-13,Mediterranean,73.98,338.02,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-13,Emirati,62.75,285.34,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-13,Seafood,73.1,297.35,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-14,Italian,83.49,127.95,Winter/Peak,Weekday,False,Favorable Weather,6
2023-12-14,Chinese,83.6,242.84,Winter/Peak,Weekday,False,Favorable Weather,7
2023-12-14,Indian,66.08,203.23,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-14,Mexican,80.59,185.58,Winter/Peak,Weekday,False,Favorable Weather,6
2023-12-14,French,58.54,407.06,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-14,Thai,68.89,135.8,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-14,Iranian,76.26,164.26,Winter/Peak,Weekday,False,Favorable Weather,2
2023-12-14,Mediterranean,70.43,274.02,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-14,Emirati,87.04,191.86,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-14,Seafood,91.26,348.26,Winter/Peak,Weekday,False,Favorable Weather,13
2023-12-15,Italian,94.23,186.18,Winter/Peak,Weekend,False,Neutral,5
2023-12-15,Chinese,87.01,204.21,Winter/Peak,Weekend,False,Neutral,7
2023-12-15,Indian,99.16,265.78,Winter/Peak,Weekend,False,Neutral,6
2023-12-15,Mexican,68.97,264.76,Winter/Peak,Weekend,False,Neutral,3
2023-12-15,French,80.02,234.92,Winter/Peak,Weekend,False,Neutral,4
2023-12-15,Thai,71.78,274.42,Winter/Peak,Weekend,False,Neutral,3
2023-12-15,Iranian,76.93,160.27,Winter/Peak,Weekend,False,Neutral,3
2023-12-15,Mediterranean,88.44,445.39,Winter/Peak,Weekend,False,Neutral,6
2023-12-15,Emirati,99.74,298.64,Winter/Peak,Weekend,False,Neutral,9
2023-12-15,Seafood,97.0,250.98,Winter/Peak,Weekend,False,Neutral,12
2023-12-16,Italian,100.0,126.51,Winter/Peak,Weekend,True,Favorable Weather,11
2023-12-16,Chinese,100.0,237.4,Winter/Peak,Weekend,True,Favorable Weather,12
2023-12-16,Indian,100.0,132.36,Winter/Peak,Weekend,True,Favorable Weather,6
2023-12-16,Mexican,100.0,158.93,Winter/Peak,Weekend,True,Favorable Weather,8
2023-12-16,French,91.63,416.88,Winter/Peak,Weekend,True,Favorable Weather,12
2023-12-16,Thai,100.0,131.99,Winter/Peak,Weekend,True,Favorable Weather,5
2023-12-16,Iranian,93.75,225.74,Winter/Peak,Weekend,True,Favorable Weather,14
2023-12-16,Mediterranean,100.0,410.64,Winter/Peak,Weekend,True,Favorable Weather,7
2023-12-16,Emirati,100.0,265.52,Winter/Peak,Weekend,True,Favorable Weather,7
2023-12-16,Seafood,100.0,356.61,Winter/Peak,Weekend,True,Favorable Weather,11
2023-12-17,Italian,73.8,106.69,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-17,Chinese,82.88,131.65,Winter/Peak,Weekday,False,Favorable Weather,5
2023-12-17,Indian,70.96,254.61,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-17,Mexican,80.85,147.62,Winter/Peak,Weekday,False,Favorable Weather,4
2023-12-17,French,92.82,332.18,Winter/Peak,Weekday,False,Favorable Weather,8
2023-12-17,Thai,75.44,147.31,Winter/Peak,Weekday,False,Favorable Weather,3
2023-12-17,Iranian,54.2,144.33,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-17,Mediterranean,79.66,381.04,Winter/Peak,Weekday,False,Favorable Weather,1
2023-12-17,Emirati,62.18,221.15,Winter/Peak,Weekday,False,Favorable Weather,0
2023-12-17,Seafood,84.0,284.17,Winter/Peak,Weekday,False,Favorable Weather,6
2023-12-18,Italian,80.82,192.53,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-12-18,Chinese,83.61,226.44,Winter/Peak,Weekday,False,High Favorable Weather,5
2023-12-18,Indian,77.39,212.93,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-12-18,Mexican,83.67,175.74,Winter/Peak,Weekday,False,High Favorable Weather,5
2023-12-18,French,71.12,396.02,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-12-18,Thai,81.78,135.73,Winter/Peak,Weekday,False,High Favorable Weather,5
2023-12-18,Iranian,56.5,229.88,Winter/Peak,Weekday,False,High Favorable Weather,1
2023-12-18,Mediterranean,87.95,312.13,Winter/Peak,Weekday,False,High Favorable Weather,6
2023-12-18,Emirati,69.88,234.1,Winter/Peak,Weekday,False,High Favorable Weather,1
2023-12-18,Seafood,72.09,324.39,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-12-19,Italian,70.24,126.47,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-12-19,Chinese,57.62,115.31,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-12-19,Indian,58.26,125.27,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-12-19,Mexican,72.67,123.5,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-12-19,French,84.37,205.17,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-12-19,Thai,69.5,221.59,Winter/Peak,Weekday,False,High Favorable Weather,2
2023-12-19,Iranian,57.46,111.4,Winter/Peak,Weekday,False,High Favorable Weather,0
2023-12-19,Mediterranean,67.73,254.81,Winter/Peak,Weekday,False,High Favorable Weather,3
2023-12-19,Emirati,96.98,285.08,Winter/Peak,Weekday,False,High Favorable Weather,5
2023-12-19,Seafood,70.53,337.19,Winter/Peak,Weekday,False,High Favorable Weather,1
2023-12-20,Italian,85.88,205.0,Winter/Peak,Weekday,False,High Favorable Weather,3
